epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,896.509,0.81799,0.47364,0.90828,0.8229,0.84313,0.85476,0.64848,0.75617,0.4465,0.9054,0.00130393,0.00130393,0.00130393
68,909.588,0.79548,0.46466,0.89917,0.82054,0.80038,0.84758,0.69103,0.75969,0.45962,0.90536,0.00129843,0.00129843,0.00129843
69,922.657,0.7985,0.46941,0.90456,0.85461,0.84749,0.85636,0.65612,0.76852,0.45351,0.90514,0.00129293,0.00129293,0.00129293
70,935.682,0.79317,0.46016,0.89622,0.9462,0.76808,0.84544,0.65822,0.76135,0.45187,0.90675,0.00128742,0.00128742,0.00128742
71,948.744,0.79717,0.46383,0.9012,0.87491,0.83651,0.85951,0.67845,0.77108,0.45004,0.90797,0.00128192,0.00128192,0.00128192
72,961.78,0.79539,0.44754,0.89275,0.94342,0.82841,0.87856,0.71784,0.77225,0.45407,0.90744,0.00127642,0.00127642,0.00127642
73,975.154,0.7811,0.45858,0.89384,0.86481,0.74986,0.85133,0.68803,0.76474,0.45007,0.90612,0.00127092,0.00127092,0.00127092
74,988.369,0.77788,0.45203,0.89428,0.96205,0.80997,0.88575,0.71792,0.7662,0.44597,0.90497,0.00126542,0.00126542,0.00126542
75,1001.8,0.79293,0.45376,0.89813,0.85366,0.80936,0.85631,0.6701,0.7758,0.45302,0.90889,0.00125992,0.00125992,0.00125992
76,1014.79,0.79394,0.45725,0.89813,0.84089,0.84031,0.85114,0.63637,0.77143,0.45223,0.90921,0.00125442,0.00125442,0.00125442
77,1027.83,0.7804,0.44941,0.89519,0.8954,0.81865,0.86318,0.67827,0.75477,0.44479,0.90264,0.00124892,0.00124892,0.00124892
78,1040.92,0.7872,0.45146,0.89799,0.94219,0.82107,0.86745,0.70227,0.75366,0.44701,0.90257,0.00124342,0.00124342,0.00124342
79,1053.99,0.78892,0.44998,0.89723,0.93303,0.83014,0.87424,0.68408,0.75622,0.4435,0.90191,0.00123791,0.00123791,0.00123791
80,1067.01,0.77636,0.44494,0.89071,0.87827,0.78499,0.85433,0.67681,0.75374,0.44523,0.90312,0.00123241,0.00123241,0.00123241
81,1080.02,0.7906,0.46154,0.90059,0.89287,0.83103,0.86134,0.69736,0.75686,0.44441,0.90159,0.00122691,0.00122691,0.00122691
82,1093.08,0.77853,0.45558,0.89168,0.90662,0.81279,0.86205,0.69835,0.76383,0.44776,0.90663,0.00122141,0.00122141,0.00122141
83,1106.19,0.77708,0.44221,0.89307,0.83396,0.8328,0.84769,0.66672,0.75696,0.44471,0.90282,0.00121591,0.00121591,0.00121591
84,1119.21,0.78473,0.45449,0.89293,0.94716,0.74447,0.85637,0.68708,0.75473,0.44751,0.90536,0.00121041,0.00121041,0.00121041
85,1132.39,0.76692,0.44843,0.89501,0.8934,0.82103,0.85266,0.67034,0.74978,0.43959,0.90283,0.00120491,0.00120491,0.00120491
86,1145.44,0.76685,0.43784,0.88602,0.94582,0.82235,0.87215,0.68786,0.7586,0.43865,0.90165,0.00119941,0.00119941,0.00119941
87,1158.55,0.76827,0.44519,0.88988,0.81773,0.76198,0.83111,0.66654,0.75669,0.44219,0.90372,0.00119391,0.00119391,0.00119391
88,1171.62,0.7722,0.4442,0.88774,0.86,0.8422,0.85712,0.63939,0.75602,0.44678,0.90409,0.0011884,0.0011884,0.0011884
89,1184.71,0.77589,0.4501,0.8936,0.8465,0.82989,0.82484,0.64402,0.75465,0.44204,0.90215,0.0011829,0.0011829,0.0011829
90,1197.8,0.7651,0.44183,0.89177,0.91365,0.79146,0.87577,0.70255,0.75994,0.43809,0.90382,0.0011774,0.0011774,0.0011774
91,1210.88,0.76148,0.44808,0.89098,0.812,0.82937,0.86318,0.68171,0.7612,0.43863,0.90388,0.0011719,0.0011719,0.0011719
92,1223.94,0.77072,0.44404,0.88932,0.95302,0.775,0.84507,0.67727,0.75395,0.43622,0.90504,0.0011664,0.0011664,0.0011664
93,1236.97,0.75874,0.42732,0.88148,0.85387,0.84193,0.86587,0.69292,0.74876,0.43741,0.902,0.0011609,0.0011609,0.0011609
94,1250.06,0.7584,0.43026,0.8838,0.83984,0.84021,0.8541,0.67956,0.74567,0.43353,0.90435,0.0011554,0.0011554,0.0011554
95,1263.17,0.76716,0.44107,0.89255,0.89211,0.83647,0.86019,0.6761,0.74902,0.4363,0.90225,0.0011499,0.0011499,0.0011499
96,1276.34,0.7554,0.43915,0.88581,0.88948,0.82523,0.86546,0.69445,0.74081,0.43465,0.89552,0.0011444,0.0011444,0.0011444
97,1289.38,0.75365,0.42865,0.88408,0.89569,0.8254,0.85721,0.69534,0.73324,0.42846,0.89608,0.00113889,0.00113889,0.00113889
98,1302.45,0.75648,0.43884,0.88702,0.80558,0.83915,0.8179,0.6264,0.75127,0.43857,0.90053,0.00113339,0.00113339,0.00113339
99,1315.56,0.75456,0.42491,0.88213,0.83942,0.82489,0.85948,0.69338,0.73515,0.43524,0.89714,0.00112789,0.00112789,0.00112789
100,1328.54,0.75048,0.42559,0.88193,0.83826,0.83512,0.85573,0.6888,0.73582,0.43285,0.89783,0.00112239,0.00112239,0.00112239
101,1341.59,0.75055,0.42979,0.88783,0.85068,0.8246,0.86463,0.69762,0.74414,0.4274,0.90005,0.00111689,0.00111689,0.00111689
102,1354.62,0.75299,0.42583,0.8829,0.93945,0.82065,0.86152,0.68151,0.7437,0.43593,0.9012,0.00111139,0.00111139,0.00111139
103,1367.72,0.74417,0.42503,0.87944,0.95995,0.82038,0.87417,0.6931,0.74392,0.43738,0.90261,0.00110589,0.00110589,0.00110589
104,1380.8,0.74385,0.42004,0.88,0.87607,0.82235,0.85019,0.68732,0.74323,0.4309,0.90084,0.00110039,0.00110039,0.00110039
105,1394,0.75469,0.43695,0.88572,0.89573,0.80191,0.82629,0.67774,0.74608,0.43241,0.9061,0.00109489,0.00109489,0.00109489
106,1407.06,0.74111,0.42398,0.88515,0.93089,0.81111,0.8609,0.69398,0.74053,0.42583,0.89817,0.00108938,0.00108938,0.00108938
107,1420.15,0.75456,0.43047,0.88105,0.89337,0.81534,0.85214,0.69246,0.74838,0.43176,0.89879,0.00108388,0.00108388,0.00108388
108,1433.17,0.74564,0.42973,0.88296,0.8775,0.84086,0.89055,0.72314,0.73635,0.42356,0.8985,0.00107838,0.00107838,0.00107838
109,1446.66,0.7439,0.43669,0.88443,0.86738,0.81894,0.84962,0.68063,0.73188,0.42274,0.89689,0.00107288,0.00107288,0.00107288
110,1459.76,0.73691,0.42167,0.87896,0.87871,0.82574,0.8507,0.68998,0.74142,0.42856,0.89875,0.00106738,0.00106738,0.00106738
111,1472.82,0.74829,0.43337,0.88605,0.93328,0.75728,0.86847,0.71076,0.73701,0.42889,0.90229,0.00106188,0.00106188,0.00106188
112,1485.9,0.73889,0.42655,0.88255,0.95256,0.79718,0.87916,0.72397,0.72984,0.42818,0.89665,0.00105638,0.00105638,0.00105638
113,1499.32,0.74806,0.41608,0.87756,0.95136,0.82265,0.88855,0.72761,0.74246,0.4255,0.90034,0.00105088,0.00105088,0.00105088
114,1512.72,0.73868,0.42493,0.8821,0.90301,0.79764,0.86916,0.70429,0.73186,0.42509,0.89671,0.00104538,0.00104538,0.00104538
115,1526.03,0.73675,0.42096,0.88412,0.89715,0.82194,0.8745,0.72608,0.73277,0.42916,0.90024,0.00103987,0.00103987,0.00103987
116,1539.07,0.73421,0.42028,0.87956,0.88151,0.81879,0.85941,0.69704,0.72988,0.4234,0.89831,0.00103437,0.00103437,0.00103437
117,1552.12,0.73207,0.41965,0.87523,0.88788,0.82504,0.84942,0.6941,0.72838,0.42294,0.89731,0.00102887,0.00102887,0.00102887
118,1565.18,0.73299,0.41914,0.87773,0.84481,0.82646,0.83887,0.67269,0.73875,0.42579,0.90183,0.00102337,0.00102337,0.00102337
119,1578.26,0.7297,0.41566,0.87576,0.84401,0.83124,0.86885,0.697,0.73115,0.42139,0.89967,0.00101787,0.00101787,0.00101787
120,1591.34,0.72226,0.40805,0.87465,0.82496,0.84496,0.8647,0.71432,0.73039,0.41904,0.90098,0.00101237,0.00101237,0.00101237
121,1604.38,0.73244,0.42202,0.88166,0.851,0.8211,0.85207,0.70199,0.73171,0.42111,0.9014,0.00100687,0.00100687,0.00100687
122,1617.4,0.72271,0.41273,0.87387,0.89597,0.83145,0.8788,0.71149,0.72175,0.42451,0.89526,0.00100137,0.00100137,0.00100137
123,1630.48,0.72934,0.41438,0.87265,0.90039,0.82209,0.86543,0.6983,0.7244,0.42117,0.89798,0.000995866,0.000995866,0.000995866
124,1643.5,0.72214,0.41502,0.87528,0.88422,0.82392,0.88581,0.69505,0.73111,0.41908,0.89916,0.000990365,0.000990365,0.000990365
125,1656.52,0.72291,0.4198,0.87827,0.8987,0.81867,0.86265,0.70067,0.73388,0.43003,0.89963,0.000984864,0.000984864,0.000984864
126,1669.64,0.72307,0.40362,0.87487,0.89485,0.82553,0.8823,0.70765,0.72786,0.42068,0.89557,0.000979362,0.000979362,0.000979362
127,1682.72,0.7213,0.41386,0.87621,0.89038,0.83426,0.87506,0.67831,0.71635,0.41393,0.89712,0.000973861,0.000973861,0.000973861
128,1695.79,0.7228,0.41499,0.87679,0.89086,0.82474,0.87013,0.702,0.73018,0.42019,0.90034,0.00096836,0.00096836,0.00096836
129,1708.81,0.72179,0.40758,0.87492,0.88256,0.78135,0.83662,0.68337,0.73609,0.41632,0.90636,0.000962859,0.000962859,0.000962859
130,1721.86,0.7219,0.40326,0.87019,0.82433,0.82019,0.87255,0.71381,0.72622,0.42161,0.89695,0.000957358,0.000957358,0.000957358
131,1734.91,0.7227,0.42572,0.87768,0.90419,0.82329,0.88537,0.73709,0.7334,0.41759,0.90424,0.000951857,0.000951857,0.000951857
132,1748.37,0.7229,0.41007,0.87249,0.91569,0.7828,0.88894,0.72078,0.72479,0.41641,0.89904,0.000946356,0.000946356,0.000946356
133,1761.48,0.71281,0.40424,0.86861,0.84354,0.82582,0.86803,0.68462,0.73221,0.4126,0.90287,0.000940855,0.000940855,0.000940855
134,1774.57,0.71608,0.40594,0.87364,0.83886,0.82626,0.85237,0.69354,0.72889,0.41548,0.8985,0.000935354,0.000935354,0.000935354
135,1787.65,0.71204,0.40312,0.87039,0.86044,0.80899,0.87215,0.69973,0.72676,0.41678,0.90099,0.000929853,0.000929853,0.000929853
136,1800.68,0.71299,0.41975,0.87432,0.92014,0.80251,0.87357,0.71892,0.71902,0.42138,0.89362,0.000924352,0.000924352,0.000924352
137,1813.89,0.70195,0.40219,0.86924,0.89428,0.82279,0.89642,0.72768,0.7188,0.41458,0.89609,0.00091885,0.00091885,0.00091885
138,1826.95,0.71357,0.39939,0.87338,0.8904,0.82472,0.86969,0.69936,0.72636,0.41794,0.90203,0.000913349,0.000913349,0.000913349
139,1840.04,0.70468,0.39732,0.86871,0.92415,0.81737,0.90444,0.74027,0.72266,0.40948,0.90068,0.000907848,0.000907848,0.000907848
140,1853.42,0.71213,0.40814,0.87226,0.90267,0.81839,0.87646,0.70125,0.72311,0.4135,0.8999,0.000902347,0.000902347,0.000902347
141,1866.46,0.71088,0.39951,0.86613,0.9014,0.81786,0.88806,0.71063,0.72342,0.41433,0.8992,0.000896846,0.000896846,0.000896846
142,1879.53,0.70221,0.39474,0.87047,0.91999,0.75753,0.89026,0.72142,0.71823,0.41511,0.89641,0.000891345,0.000891345,0.000891345
