epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1674.95,0.77919,0.42964,0.88541,0.91745,0.76272,0.82962,0.6761,0.73299,0.42983,0.89331,0.00122691,0.00122691,0.00122691
82,1695.29,0.77916,0.42961,0.88528,0.94759,0.73969,0.81307,0.66505,0.74601,0.43479,0.89163,0.00122141,0.00122141,0.00122141
83,1715.63,0.78534,0.43393,0.88694,0.86977,0.79853,0.82891,0.67595,0.74069,0.43152,0.89124,0.00121591,0.00121591,0.00121591
84,1735.93,0.78188,0.43973,0.89081,0.95812,0.7463,0.83991,0.69194,0.7383,0.43539,0.89304,0.00121041,0.00121041,0.00121041
85,1756.61,0.77567,0.43704,0.88439,0.8876,0.7626,0.8215,0.67196,0.73639,0.42898,0.89384,0.00120491,0.00120491,0.00120491
86,1776.93,0.77956,0.43962,0.8862,0.94314,0.75405,0.85631,0.71305,0.73693,0.42661,0.89122,0.00119941,0.00119941,0.00119941
87,1797.62,0.7737,0.43034,0.88608,0.93878,0.79218,0.85746,0.7024,0.74034,0.4257,0.89243,0.00119391,0.00119391,0.00119391
88,1817.99,0.77029,0.43369,0.88581,0.89898,0.73367,0.81767,0.661,0.7434,0.42746,0.89657,0.0011884,0.0011884,0.0011884
89,1838.41,0.77345,0.43534,0.88563,0.95556,0.78369,0.83808,0.68089,0.7442,0.42976,0.89555,0.0011829,0.0011829,0.0011829
90,1858.74,0.76911,0.43513,0.8848,0.89773,0.71898,0.81061,0.63659,0.73892,0.43006,0.89077,0.0011774,0.0011774,0.0011774
91,1879.05,0.77076,0.42893,0.88514,0.90017,0.73738,0.80748,0.65932,0.73497,0.43107,0.89393,0.0011719,0.0011719,0.0011719
92,1899.38,0.76997,0.42592,0.88538,0.94571,0.77258,0.81339,0.66124,0.73244,0.42832,0.89068,0.0011664,0.0011664,0.0011664
93,1919.62,0.7623,0.42528,0.88207,0.91574,0.73686,0.84036,0.68159,0.73395,0.4235,0.89256,0.0011609,0.0011609,0.0011609
94,1939.95,0.7704,0.42643,0.88636,0.89491,0.80346,0.84042,0.69305,0.72739,0.42342,0.89041,0.0011554,0.0011554,0.0011554
95,1960.31,0.7575,0.42467,0.88181,0.88461,0.80245,0.86054,0.70014,0.7348,0.42346,0.89557,0.0011499,0.0011499,0.0011499
96,1980.65,0.76205,0.42377,0.87994,0.89907,0.74973,0.83893,0.68393,0.73639,0.42976,0.89288,0.0011444,0.0011444,0.0011444
97,2000.97,0.76926,0.43242,0.88744,0.96544,0.74826,0.83775,0.68075,0.73532,0.42568,0.89445,0.00113889,0.00113889,0.00113889
98,2021.37,0.75826,0.42372,0.88153,0.88583,0.78837,0.84791,0.69449,0.73479,0.42667,0.89555,0.00113339,0.00113339,0.00113339
99,2041.73,0.7625,0.42529,0.8826,0.91584,0.76822,0.82702,0.68393,0.7308,0.42953,0.88997,0.00112789,0.00112789,0.00112789
100,2062.23,0.76328,0.42806,0.88393,0.86005,0.75717,0.81151,0.6511,0.73261,0.42543,0.89124,0.00112239,0.00112239,0.00112239
101,2082.51,0.75468,0.41717,0.8787,0.89586,0.78374,0.84099,0.69721,0.72586,0.42201,0.89081,0.00111689,0.00111689,0.00111689
102,2102.89,0.75563,0.42156,0.8829,0.91431,0.79437,0.84158,0.69178,0.73584,0.42738,0.89634,0.00111139,0.00111139,0.00111139
103,2123.23,0.75784,0.42383,0.88364,0.9143,0.78722,0.83381,0.66744,0.73032,0.42427,0.89183,0.00110589,0.00110589,0.00110589
104,2143.59,0.7559,0.41912,0.88301,0.86316,0.78892,0.83804,0.68791,0.73143,0.42437,0.88949,0.00110039,0.00110039,0.00110039
105,2163.86,0.755,0.42307,0.88054,0.90033,0.7551,0.83671,0.6922,0.72096,0.42151,0.88697,0.00109489,0.00109489,0.00109489
106,2184.24,0.74353,0.41495,0.87417,0.90487,0.73759,0.80677,0.6443,0.73367,0.42665,0.88897,0.00108938,0.00108938,0.00108938
107,2204.55,0.75193,0.42037,0.87743,0.86887,0.76197,0.81458,0.65647,0.72918,0.41978,0.89087,0.00108388,0.00108388,0.00108388
108,2225.05,0.75002,0.42302,0.88224,0.84348,0.80591,0.83794,0.675,0.72461,0.42275,0.89067,0.00107838,0.00107838,0.00107838
109,2245.38,0.75036,0.41497,0.88321,0.8729,0.76243,0.83652,0.67532,0.7272,0.42068,0.89124,0.00107288,0.00107288,0.00107288
110,2265.65,0.7404,0.41166,0.87834,0.93225,0.73514,0.8361,0.68713,0.72511,0.41768,0.89054,0.00106738,0.00106738,0.00106738
111,2285.94,0.74026,0.41299,0.8744,0.90256,0.77766,0.8308,0.68776,0.72264,0.42395,0.88802,0.00106188,0.00106188,0.00106188
112,2306.26,0.74292,0.40871,0.87746,0.89273,0.71554,0.7954,0.65122,0.72459,0.42015,0.8916,0.00105638,0.00105638,0.00105638
113,2326.57,0.74745,0.41501,0.88178,0.89282,0.75958,0.82298,0.67957,0.7262,0.41905,0.89035,0.00105088,0.00105088,0.00105088
114,2346.87,0.74468,0.4177,0.8773,0.88415,0.73704,0.82073,0.67179,0.71977,0.41646,0.88828,0.00104538,0.00104538,0.00104538
115,2367.26,0.73076,0.40575,0.87288,0.82514,0.78392,0.81354,0.66121,0.71425,0.41701,0.88544,0.00103987,0.00103987,0.00103987
116,2387.59,0.73286,0.41212,0.87547,0.85111,0.78125,0.82959,0.67358,0.71822,0.41837,0.8862,0.00103437,0.00103437,0.00103437
117,2407.89,0.74356,0.41324,0.8749,0.85965,0.77168,0.81369,0.66892,0.73021,0.42008,0.8907,0.00102887,0.00102887,0.00102887
118,2428.24,0.74158,0.41917,0.87747,0.91425,0.75258,0.83242,0.68571,0.72275,0.41418,0.89231,0.00102337,0.00102337,0.00102337
119,2448.57,0.72803,0.40753,0.874,0.8755,0.80548,0.83796,0.69622,0.72178,0.41592,0.89127,0.00101787,0.00101787,0.00101787
120,2468.98,0.73085,0.40416,0.8721,0.89648,0.79902,0.82534,0.67881,0.71612,0.41399,0.88903,0.00101237,0.00101237,0.00101237
121,2489.29,0.73259,0.40676,0.87441,0.94751,0.75264,0.84109,0.69023,0.72176,0.41466,0.88814,0.00100687,0.00100687,0.00100687
122,2509.61,0.73459,0.40765,0.87331,0.92175,0.78811,0.85622,0.70343,0.71798,0.42096,0.89084,0.00100137,0.00100137,0.00100137
123,2529.95,0.73447,0.40634,0.87332,0.87934,0.76866,0.84496,0.68722,0.71634,0.41479,0.89425,0.000995866,0.000995866,0.000995866
124,2550.25,0.73307,0.40274,0.87157,0.91329,0.76907,0.84532,0.68734,0.71884,0.41734,0.88956,0.000990365,0.000990365,0.000990365
125,2570.59,0.73013,0.40884,0.87206,0.9013,0.78191,0.83434,0.68346,0.7177,0.41225,0.89004,0.000984864,0.000984864,0.000984864
126,2590.92,0.72354,0.40199,0.87027,0.94773,0.76911,0.85839,0.7076,0.71464,0.41461,0.88995,0.000979362,0.000979362,0.000979362
127,2611.23,0.72349,0.40061,0.86985,0.88303,0.80289,0.84622,0.69814,0.72302,0.40998,0.89019,0.000973861,0.000973861,0.000973861
128,2631.52,0.72297,0.39831,0.86832,0.94609,0.75084,0.82567,0.67111,0.71882,0.41403,0.88789,0.00096836,0.00096836,0.00096836
129,2651.89,0.71615,0.39594,0.86779,0.90367,0.73817,0.83258,0.68136,0.71872,0.41548,0.88882,0.000962859,0.000962859,0.000962859
130,2672.27,0.71649,0.39981,0.87164,0.81586,0.78424,0.8106,0.66152,0.71663,0.41341,0.88778,0.000957358,0.000957358,0.000957358
131,2692.6,0.72481,0.407,0.86949,0.85732,0.74826,0.76849,0.62249,0.71266,0.40986,0.88754,0.000951857,0.000951857,0.000951857
132,2712.96,0.72496,0.40029,0.87208,0.76419,0.80457,0.8093,0.65427,0.71711,0.41234,0.89057,0.000946356,0.000946356,0.000946356
133,2733.23,0.71198,0.39862,0.86643,0.90596,0.76047,0.84227,0.68709,0.71769,0.4159,0.88999,0.000940855,0.000940855,0.000940855
134,2753.53,0.71711,0.39801,0.87404,0.95331,0.76296,0.8403,0.68336,0.71847,0.41346,0.89505,0.000935354,0.000935354,0.000935354
135,2773.87,0.71624,0.40178,0.87064,0.88371,0.78909,0.83772,0.68552,0.71882,0.40969,0.88946,0.000929853,0.000929853,0.000929853
136,2794.19,0.71661,0.39186,0.86667,0.90104,0.803,0.83311,0.67937,0.70947,0.40791,0.88739,0.000924352,0.000924352,0.000924352
137,2814.46,0.71588,0.40068,0.87238,0.8876,0.79995,0.83805,0.68453,0.71287,0.40768,0.89126,0.00091885,0.00091885,0.00091885
138,2834.79,0.70291,0.39157,0.86501,0.90329,0.75442,0.84298,0.67881,0.70833,0.40551,0.88795,0.000913349,0.000913349,0.000913349
139,2855.11,0.71015,0.39672,0.86811,0.95086,0.74732,0.8406,0.66899,0.71199,0.40819,0.89193,0.000907848,0.000907848,0.000907848
140,2875.41,0.72009,0.39809,0.86828,0.86864,0.79214,0.81563,0.66863,0.709,0.40673,0.88784,0.000902347,0.000902347,0.000902347
141,2895.83,0.70575,0.39033,0.86468,0.91144,0.76372,0.81873,0.67155,0.71219,0.40753,0.88618,0.000896846,0.000896846,0.000896846
142,2916.12,0.71728,0.39445,0.8711,0.87162,0.7667,0.82295,0.67706,0.70643,0.40737,0.88846,0.000891345,0.000891345,0.000891345
143,2936.48,0.70961,0.39716,0.87003,0.88243,0.76845,0.82308,0.68695,0.70905,0.40637,0.89177,0.000885844,0.000885844,0.000885844
144,2956.77,0.70342,0.38579,0.86695,0.87945,0.77842,0.83005,0.67393,0.71095,0.40922,0.88963,0.000880343,0.000880343,0.000880343
145,2977.08,0.70481,0.39044,0.86526,0.84931,0.79854,0.8269,0.67678,0.71506,0.41018,0.88721,0.000874842,0.000874842,0.000874842
146,2997.39,0.70614,0.38795,0.86505,0.91664,0.79114,0.82929,0.67541,0.70623,0.40949,0.88374,0.00086934,0.00086934,0.00086934
147,3017.85,0.7014,0.3931,0.86541,0.8704,0.79496,0.8205,0.67379,0.71355,0.41154,0.88882,0.000863839,0.000863839,0.000863839
148,3038.16,0.70088,0.38649,0.86602,0.88236,0.76813,0.81976,0.67994,0.71065,0.41093,0.88835,0.000858338,0.000858338,0.000858338
149,3058.5,0.70746,0.3874,0.86609,0.85613,0.75726,0.80455,0.66071,0.71125,0.40824,0.89027,0.000852837,0.000852837,0.000852837
150,3078.83,0.70529,0.38259,0.86582,0.92007,0.76162,0.82489,0.69366,0.70994,0.40741,0.88738,0.000847336,0.000847336,0.000847336
151,3099.16,0.70493,0.3843,0.86519,0.93025,0.75298,0.8187,0.68191,0.70615,0.40988,0.8893,0.000841835,0.000841835,0.000841835
152,3119.52,0.70594,0.39056,0.86524,0.95583,0.75951,0.82855,0.68601,0.7099,0.40631,0.88975,0.000836334,0.000836334,0.000836334
153,3139.86,0.70094,0.39836,0.86545,0.89949,0.78341,0.82388,0.68206,0.70924,0.40631,0.88835,0.000830833,0.000830833,0.000830833
154,3160.19,0.69397,0.38273,0.8603,0.89699,0.79452,0.82581,0.67523,0.7097,0.40413,0.88873,0.000825332,0.000825332,0.000825332
155,3180.47,0.70858,0.39583,0.86771,0.90811,0.77944,0.83061,0.68734,0.70726,0.40564,0.88981,0.000819831,0.000819831,0.000819831
156,3200.8,0.69882,0.37982,0.86612,0.90074,0.74601,0.80698,0.66681,0.70629,0.40459,0.88891,0.000814329,0.000814329,0.000814329
157,3221.09,0.69532,0.38543,0.86527,0.94878,0.73653,0.81961,0.68679,0.70722,0.40489,0.89014,0.000808828,0.000808828,0.000808828
158,3241.39,0.68928,0.3829,0.8623,0.84643,0.78265,0.81288,0.67666,0.70809,0.40456,0.89104,0.000803327,0.000803327,0.000803327
159,3261.86,0.69752,0.39185,0.86514,0.91847,0.75905,0.81235,0.66405,0.70703,0.40557,0.89004,0.000797826,0.000797826,0.000797826
160,3282.26,0.69446,0.3803,0.86329,0.94121,0.72713,0.81614,0.67022,0.70336,0.40563,0.88829,0.000792325,0.000792325,0.000792325
161,3302.55,0.69013,0.38015,0.86271,0.94345,0.77568,0.83352,0.68527,0.70612,0.40175,0.88952,0.000786824,0.000786824,0.000786824
162,3322.85,0.69398,0.39433,0.86555,0.8649,0.78353,0.8263,0.6707,0.71016,0.40187,0.89302,0.000781323,0.000781323,0.000781323
163,3343.35,0.68206,0.37733,0.86052,0.85414,0.78699,0.82238,0.67461,0.70193,0.4018,0.88969,0.000775822,0.000775822,0.000775822
164,3363.74,0.69102,0.38851,0.86563,0.86866,0.77591,0.81847,0.67896,0.70075,0.40352,0.89025,0.000770321,0.000770321,0.000770321
165,3384.08,0.68557,0.37536,0.86022,0.89801,0.78271,0.82676,0.69317,0.69999,0.39893,0.88689,0.00076482,0.00076482,0.00076482
166,3404.38,0.68454,0.37742,0.85708,0.86246,0.78582,0.812,0.67718,0.70302,0.40058,0.88947,0.000759318,0.000759318,0.000759318
167,3424.8,0.69114,0.37821,0.86166,0.87915,0.77377,0.8123,0.67755,0.69817,0.39767,0.88754,0.000753817,0.000753817,0.000753817
168,3445.14,0.6879,0.3777,0.86155,0.91597,0.74845,0.82032,0.67776,0.70321,0.40235,0.88895,0.000748316,0.000748316,0.000748316
169,3465.48,0.68186,0.37567,0.85756,0.88803,0.76762,0.82017,0.686,0.70455,0.40071,0.88817,0.000742815,0.000742815,0.000742815
170,3485.75,0.6813,0.37532,0.85977,0.88793,0.77127,0.81577,0.68666,0.70116,0.3975,0.88992,0.000737314,0.000737314,0.000737314
171,3506.03,0.68614,0.38534,0.86499,0.92352,0.74045,0.79959,0.66972,0.70303,0.40011,0.88867,0.000731813,0.000731813,0.000731813
172,3526.36,0.68017,0.36653,0.85837,0.88455,0.77746,0.80847,0.67614,0.6962,0.39749,0.88545,0.000726312,0.000726312,0.000726312
173,3546.69,0.67898,0.38499,0.86326,0.90883,0.779,0.80786,0.6656,0.69961,0.39757,0.88886,0.000720811,0.000720811,0.000720811
174,3567.04,0.68077,0.37545,0.85858,0.90747,0.77852,0.82199,0.67737,0.69775,0.39715,0.88598,0.00071531,0.00071531,0.00071531
175,3587.33,0.67249,0.37139,0.85704,0.91491,0.71793,0.82146,0.68283,0.69216,0.39808,0.88275,0.000709809,0.000709809,0.000709809
176,3607.8,0.67774,0.3753,0.85691,0.88236,0.77751,0.81883,0.68101,0.69304,0.39959,0.88355,0.000704307,0.000704307,0.000704307
177,3628.09,0.68021,0.3755,0.86127,0.89105,0.76644,0.8148,0.68515,0.69574,0.39752,0.88684,0.000698806,0.000698806,0.000698806
178,3648.48,0.67392,0.38025,0.85968,0.88813,0.76308,0.81914,0.68975,0.69562,0.39938,0.88942,0.000693305,0.000693305,0.000693305
179,3668.8,0.67209,0.37087,0.85811,0.86743,0.75102,0.81398,0.67818,0.6964,0.39932,0.88698,0.000687804,0.000687804,0.000687804
180,3689.2,0.67497,0.37762,0.85935,0.91803,0.76985,0.81835,0.68158,0.69472,0.39931,0.88396,0.000682303,0.000682303,0.000682303
181,3709.49,0.66401,0.36592,0.85531,0.90373,0.73236,0.8095,0.67852,0.69526,0.39853,0.88544,0.000676802,0.000676802,0.000676802
182,3729.82,0.6616,0.36465,0.85512,0.95125,0.73568,0.81746,0.68905,0.69327,0.39914,0.88588,0.000671301,0.000671301,0.000671301
